season,hunt_date,timezone,sunrise_local,estimated_open_time_local,opening_sample_time_local,opening_sample_offset_minutes,opening_weather_code,opening_conditions,opening_temperature_f,opening_apparent_temperature_f,opening_relative_humidity_pct,opening_cloud_cover_pct,opening_precipitation_in,opening_rain_in,opening_snowfall_in,opening_wind_speed_mph,opening_wind_gust_mph,opening_wind_direction_deg,opening_wind_direction_cardinal,daily_weather_code,daily_conditions,daily_temperature_mean_f,daily_temperature_high_f,daily_temperature_low_f,daily_precipitation_in,daily_rain_in,daily_snowfall_in,daily_precipitation_hours,daily_wind_speed_max_mph,daily_wind_gust_max_mph,daily_wind_direction_dominant_deg,daily_wind_direction_dominant_cardinal,requested_latitude,requested_longitude,weather_grid_latitude,weather_grid_longitude,weather_grid_elevation_m,weather_model
2021-22,2021-10-16,America/Los_Angeles,2021-10-16T07:29,2021-10-16T06:59,2021-10-16T07:00,1,3,Overcast,44.0,41.4,100,100,0.0,0.0,0.0,2.6,5.8,165,SSE,3,Overcast,52.1,63.6,44.0,0.0,0.0,0.0,0.0,5.2,12.3,170,S,45.72,-122.803,45.729347,-122.791794,1.0,ecmwf_ifs
2021-22,2021-10-18,America/Los_Angeles,2021-10-18T07:32,2021-10-18T07:02,2021-10-18T07:00,-2,0,Clear sky,43.3,39.9,96,3,0.0,0.0,0.0,3.5,6.7,255,WSW,51,Light drizzle,49.5,56.9,43.3,0.02,0.02,0.0,4.0,6.0,12.3,335,NNW,45.72,-122.803,45.729347,-122.791794,1.0,ecmwf_ifs
2021-22,2021-10-20,America/Los_Angeles,2021-10-20T07:35,2021-10-20T07:05,2021-10-20T07:00,-5,55,Dense drizzle,50.2,45.2,97,100,0.043,0.043,0.0,11.3,25.1,188,S,61,Slight rain,52.6,58.4,47.2,0.453,0.453,0.0,18.0,12.0,28.9,168,SSE,45.72,-122.803,45.729347,-122.791794,1.0,ecmwf_ifs
2021-22,2021-10-22,America/Los_Angeles,2021-10-22T07:37,2021-10-22T07:07,2021-10-22T07:00,-7,3,Overcast,50.5,48.5,95,100,0.0,0.0,0.0,4.4,9.4,156,SSE,61,Slight rain,52.6,58.7,48.5,0.311,0.311,0.0,13.0,9.1,19.9,182,S,45.72,-122.803,45.729347,-122.791794,1.0,ecmwf_ifs
2021-22,2021-10-24,America/Los_Angeles,2021-10-24T07:40,2021-10-24T07:10,2021-10-24T07:00,-10,55,Dense drizzle,50.3,45.1,90,100,0.039,0.039,0.0,10.6,21.7,120,ESE,61,Slight rain,52.0,54.6,49.6,0.445,0.445,0.0,16.0,16.7,36.9,160,SSE,45.72,-122.803,45.729347,-122.791794,1.0,ecmwf_ifs
2021-22,2021-10-26,America/Los_Angeles,2021-10-26T07:43,2021-10-26T07:13,2021-10-26T07:00,-13,53,Moderate drizzle,49.0,43.9,94,100,0.035,0.035,0.0,10.5,21.0,168,SSE,61,Slight rain,50.6,55.9,47.7,0.343,0.343,0.0,22.0,12.6,29.1,184,S,45.72,-122.803,45.729347,-122.791794,1.0,ecmwf_ifs
2021-22,2021-10-28,America/Los_Angeles,2021-10-28T07:46,2021-10-28T07:16,2021-10-28T07:00,-16,3,Overcast,54.4,52.9,99,100,0.0,0.0,0.0,6.5,13.4,174,S,61,Slight rain,57.3,62.6,50.7,0.268,0.268,0.0,18.0,11.4,22.8,185,S,45.72,-122.803,45.729347,-122.791794,1.0,ecmwf_ifs
2021-22,2021-10-30,America/Los_Angeles,2021-10-30T07:48,2021-10-30T07:18,2021-10-30T07:00,-18,0,Clear sky,42.6,36.1,75,0,0.0,0.0,0.0,7.6,13.9,328,NNW,0,Clear sky,48.3,56.8,42.4,0.0,0.0,0.0,0.0,9.5,19.2,340,NNW,45.72,-122.803,45.729347,-122.791794,1.0,ecmwf_ifs
2021-22,2021-11-04,America/Los_Angeles,2021-11-04T07:55,2021-11-04T07:25,2021-11-04T07:00,-25,51,Light drizzle,54.2,49.3,92,97,0.008,0.008,0.0,13.2,26.8,161,SSE,63,Moderate rain,51.0,55.6,45.0,0.465,0.465,0.0,16.0,14.6,30.2,184,S,45.72,-122.803,45.729347,-122.791794,1.0,ecmwf_ifs
2021-22,2021-11-06,America/Los_Angeles,2021-11-06T07:58,2021-11-06T07:28,2021-11-06T07:00,-28,53,Moderate drizzle,45.0,39.2,95,100,0.035,0.035,0.0,9.9,21.3,176,S,61,Slight rain,45.1,48.4,41.8,0.858,0.858,0.0,22.0,13.1,29.1,186,S,45.72,-122.803,45.729347,-122.791794,1.0,ecmwf_ifs
