team,team_slug,league,football_season,season_type,season_type_name,event_id,event_name,short_name,game_datetime_utc,game_datetime_pacific,game_date_pacific,kickoff_time_pacific,time_valid,week,home_away,opponent_id,opponent,opponent_abbreviation,team_score,opponent_score,result,completed,status,neutral_site,venue,venue_city,venue_state,broadcasts,notes,source_url
Oregon Ducks,oregon,college-football,2021,2,Regular Season,401309838,Fresno State Bulldogs at Oregon Ducks,FRES @ ORE,2021-09-04T18:00:00+00:00,2021-09-04T11:00:00-07:00,2021-09-04,11:00,True,1,home,278,Fresno State Bulldogs,FRES,31,24,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2021&seasontype=2
Oregon State Beavers,oregon-state,college-football,2021,2,Regular Season,401282819,Oregon State Beavers at Purdue Boilermakers,ORST @ PUR,2021-09-04T23:00:00+00:00,2021-09-04T16:00:00-07:00,2021-09-04,16:00,True,1,away,2509,Purdue Boilermakers,PUR,21,30,L,True,Final,False,Ross-Ade Stadium,West Lafayette,IN,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2021&seasontype=2
Oregon Ducks,oregon,college-football,2021,2,Regular Season,401282809,Oregon Ducks at Ohio State Buckeyes,ORE @ OSU,2021-09-11T16:00:00+00:00,2021-09-11T09:00:00-07:00,2021-09-11,09:00,True,2,away,194,Ohio State Buckeyes,OSU,35,28,W,True,Final,False,Ohio Stadium,Columbus,OH,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2021&seasontype=2
Oregon State Beavers,oregon-state,college-football,2021,2,Regular Season,401309844,Hawai'i Rainbow Warriors at Oregon State Beavers,HAW @ ORST,2021-09-12T03:00:00+00:00,2021-09-11T20:00:00-07:00,2021-09-11,20:00,True,2,home,62,Hawai'i Rainbow Warriors,HAW,45,27,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2021&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2021,2,Regular Season,401326318,Seattle Seahawks at Indianapolis Colts,SEA @ IND,2021-09-12T17:00:00+00:00,2021-09-12T10:00:00-07:00,2021-09-12,10:00,True,1,away,11,Indianapolis Colts,IND,28,16,W,True,Final,False,Lucas Oil Stadium,Indianapolis,IN,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2021&seasontype=2
Oregon State Beavers,oregon-state,college-football,2021,2,Regular Season,401309851,Idaho Vandals at Oregon State Beavers,IDHO @ ORST,2021-09-18T19:30:00+00:00,2021-09-18T12:30:00-07:00,2021-09-18,12:30,True,3,home,70,Idaho Vandals,IDHO,42,0,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2021&seasontype=2
Oregon Ducks,oregon,college-football,2021,2,Regular Season,401309850,Stony Brook Seawolves at Oregon Ducks,STBK @ ORE,2021-09-18T23:30:00+00:00,2021-09-18T16:30:00-07:00,2021-09-18,16:30,True,3,home,2619,Stony Brook Seawolves,STBK,48,7,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2021&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2021,2,Regular Season,401326360,Tennessee Titans at Seattle Seahawks,TEN @ SEA,2021-09-19T20:25:00+00:00,2021-09-19T13:25:00-07:00,2021-09-19,13:25,True,2,home,10,Tennessee Titans,TEN,30,33,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2021&seasontype=2
Oregon Ducks,oregon,college-football,2021,2,Regular Season,401309859,Arizona Wildcats at Oregon Ducks,ARIZ @ ORE,2021-09-26T02:30:00+00:00,2021-09-25T19:30:00-07:00,2021-09-25,19:30,True,4,home,12,Arizona Wildcats,ARIZ,41,19,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2021&seasontype=2
Oregon State Beavers,oregon-state,college-football,2021,2,Regular Season,401309860,Oregon State Beavers at USC Trojans,ORST @ USC,2021-09-26T02:30:00+00:00,2021-09-25T19:30:00-07:00,2021-09-25,19:30,True,4,away,30,USC Trojans,USC,45,27,W,True,Final,False,Los Angeles Memorial Coliseum,Los Angeles,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2021&seasontype=2
