team,football_season,season_type,local_path,source_url,retrieved_at_utc,bytes,sha256
Oregon Ducks,2021,2,data/raw/espn/football-schedules/oregon/2021-regular.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2021&seasontype=2,2026-09-06T02:51:37+00:00,616031,b4bd19f2d95b9d291e9f13407f6233dbceb6773786547574a4a9bfc0b2f38940
Oregon Ducks,2021,3,data/raw/espn/football-schedules/oregon/2021-postseason.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2021&seasontype=3,2026-09-06T02:51:37+00:00,43859,a1b127a36577ecaa37babb926bfe4468bf859784c7897de122a95dedba5464f6
Oregon Ducks,2022,2,data/raw/espn/football-schedules/oregon/2022-regular.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=2,2026-09-06T02:51:37+00:00,550063,9f321e184671e20bdbd274a6caca5ec018ce4858515a0ecb77e74f369a6d89ed
Oregon Ducks,2022,3,data/raw/espn/football-schedules/oregon/2022-postseason.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=3,2026-09-06T02:51:37+00:00,46523,adff84fe77d83cfcd50b7265ca993c6e842461c8141c7d6f3773cfe466a1290d
Oregon Ducks,2023,2,data/raw/espn/football-schedules/oregon/2023-regular.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2,2026-09-06T02:51:37+00:00,605064,3188ee90650067ba889ac5a16638fc046d91c43da4c98c5ccfb376a70a3968c5
Oregon Ducks,2023,3,data/raw/espn/football-schedules/oregon/2023-postseason.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=3,2026-09-06T02:51:37+00:00,48792,00413b9d40ff9daf75daa427386f208d91639f41974d676a7e64230704b35a06
Oregon Ducks,2024,2,data/raw/espn/football-schedules/oregon/2024-regular.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=2,2026-09-06T02:51:37+00:00,627329,3fb9808caa79f56922f6af12b71b17afcc52a2c53b679a35c202f242a0b282cc
Oregon Ducks,2024,3,data/raw/espn/football-schedules/oregon/2024-postseason.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=3,2026-09-06T02:51:37+00:00,42256,6dc8ff77418f13a045fcaaf3b7c754764a100fc15dc0632ae762a1263249d697
Oregon Ducks,2025,2,data/raw/espn/football-schedules/oregon/2025-regular.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2025&seasontype=2,2026-09-06T02:51:37+00:00,566073,8a1590f20e790ec8bfe437eb05b2542fa2d332ba2980773d563f2091d21fb877
Oregon Ducks,2025,3,data/raw/espn/football-schedules/oregon/2025-postseason.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2025&seasontype=3,2026-09-06T02:51:37+00:00,143767,8e57131258f760baa5fd80704bd170cbd6af6accafdbdf67174b45ee2b0b5a26
Oregon State Beavers,2021,2,data/raw/espn/football-schedules/oregon-state/2021-regular.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2021&seasontype=2,2026-09-06T02:51:37+00:00,555853,0cbbb76df2a3fc7c90322c6239daaeb64afeacb9da02ff2cb7bf5dbd23bf3dfc
Oregon State Beavers,2021,3,data/raw/espn/football-schedules/oregon-state/2021-postseason.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2021&seasontype=3,2026-09-06T02:51:37+00:00,50790,10bdfb80b29dec9d84d682f6873eadcd0905717b8ba597be5fc0850d766525d9
Oregon State Beavers,2022,2,data/raw/espn/football-schedules/oregon-state/2022-regular.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=2,2026-09-06T02:51:37+00:00,569863,28a3a5c0b48cd072884a483cecc3d6d78036186f42ac74945e01a1034b87e324
Oregon State Beavers,2022,3,data/raw/espn/football-schedules/oregon-state/2022-postseason.json,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=3,2026-09-06T02:51:37+00:00,47450,7f18058020ba8b839d9c5a77b6e7131a15fc8535c0184064685542d4d4ac0b6f
